iter	RMSE
0	114964.9623
1	114065.4005
2	113237.3545
3	112477.418
4	111779.6592
5	111127.892
6	110532.9684
7	109972.9719
8	109456.9487
9	108992.9388
10	108552.4927
11	108155.3343
12	107783.5276
13	107438.2165
14	107126.6515
15	106835.6618
16	106569.9103
17	106325.8099
18	106090.7353
19	105880.7608
20	105676.4958
21	105491.0115
22	105322.0922
23	105160.1386
24	105011.7873
25	104869.7155
26	104737.8231
27	104615.4515
28	104503.8044
29	104396.9841
30	104298.4037
31	104203.054
32	104116.8212
33	104029.0835
34	103952.9998
35	103879.0828
36	103817.7847
37	103760.5417
38	103697.9509
39	103639.2241
40	103584.8519
41	103529.5255
42	103479.2924
43	103423.0742
44	103371.8106
45	103330.3003
46	103289.1161
47	103247.5562
48	103210.079
49	103174.8915
50	103137.0668
51	103101.003
52	103071.0789
53	103038.9996
54	102999.7378
55	102963.1596
56	102924.3591
57	102891.3278
58	102865.9107
59	102839.3784
60	102816.7967
61	102786.8449
62	102758.5803
63	102734.2744
64	102705.588
65	102678.7522
66	102649.5484
67	102629.4914
68	102605.1592
69	102583.4362
70	102557.9623
71	102529.2808
72	102507.9249
73	102486.4476
74	102462.2509
75	102432.8499
76	102407.0232
77	102390.8333
78	102360.3629
79	102341.8778
80	102326.3123
81	102305.9235
82	102290.3382
83	102274.8036
84	102251.2807
85	102232.9343
86	102210.7135
87	102186.2579
88	102166.604
89	102146.978
90	102130.5238
91	102103.5208
92	102087.0557
93	102067.8745
94	102046.416
95	102025.1577
96	102011.0049
97	101998.4295
98	101974.1144
99	101960.6506
100	101941.3752
101	101915.9779
102	101897.8189
103	101879.0746
104	101866.9828
105	101849.1498
106	101833.0118
107	101810.4788
108	101791.1228
109	101777.0075
110	101759.7465
111	101742.6813
112	101723.0379
113	101709.3032
114	101695.2338
115	101673.624
116	101660.9718
117	101645.9337
118	101630.9734
119	101618.4813
120	101603.5076
121	101583.0667
122	101569.3345
123	101555.5986
124	101544.3798
125	101526.1617
126	101510.3546
127	101496.6951
128	101484.075
129	101469.5353
130	101446.4793
131	101433.8293
132	101424.6724
133	101416.2131
134	101402.2267
135	101384.6959
136	101366.1753
137	101357.8498
138	101340.2801
139	101322.3765
140	101309.3779
141	101298.1577
142	101288.639
143	101274.7622
144	101266.2192
145	101253.564
146	101244.5869
147	101231.919
148	101219.0771
149	101209.2385
150	101198.895
151	101188.6733
152	101179.2912
153	101163.835
154	101152.174
155	101142.9237
156	101131.9471
157	101119.153
158	101110.6258
159	101102.3331
160	101090.6259
161	101079.1249
162	101069.3677
163	101054.7117
164	101048.3553
165	101037.8358
166	101023.7049
167	101012.0065
168	100990.8692
169	100978.0347
170	100968.7484
171	100959.177
172	100949.8288
173	100936.9239
174	100925.2976
175	100918.0428
176	100899.4741
177	100891.822
178	100880.6659
179	100871.6115
180	100863.4751
181	100853.1863
182	100840.6087
183	100825.0582
184	100812.1245
185	100797.4921
186	100786.3722
187	100774.1891
188	100767.1377
189	100755.4481
190	100745.9849
191	100738.7832
192	100726.5828
193	100712.8786
194	100703.797
195	100696.1181
196	100688.8152
197	100680.1427
198	100664.0237
199	100651.0034
200	100640.3083
201	100631.2234
202	100621.8876
203	100608.2404
204	100601.5915
205	100597.1146
206	100585.518
207	100574.9077
208	100564.4227
209	100555.0978
210	100548.0872
211	100533.7762
212	100525.6337
213	100520.0224
214	100510.5574
215	100496.3211
216	100486.0929
217	100480.8165
218	100475.6866
219	100466.7629
220	100449.8387
221	100443.9758
222	100431.3984
223	100422.1151
224	100415.5483
225	100407.381
226	100396.9298
227	100390.6655
228	100376.9648
229	100369.7502
230	100363.7102
231	100355.4043
232	100344.9892
233	100341.7699
234	100332.8504
235	100323.4826
236	100316.3846
237	100309.1613
238	100301.0312
239	100288.4598
240	100274.9222
241	100266.0666
242	100257.9949
243	100246.6336
244	100238.5948
245	100229.4238
246	100220.8124
247	100214.825
248	100204.4323
249	100197.9347
250	100185.6385
251	100180.1356
252	100172.1186
253	100164.6678
254	100158.0117
255	100151.4107
256	100140.6123
257	100136.4209
258	100129.3922
259	100121.488
260	100112.0374
261	100104.2061
262	100100.4003
263	100096.355
264	100092.7545
265	100083.0381
266	100077.6133
267	100067.4841
268	100060.0938
269	100056.4739
270	100052.0843
271	100043.6252
272	100038.311
273	100031.8062
274	100027.2153
275	100021.433
276	100016.1602
277	100006.2243
278	99999.83029
279	99987.51001
280	99979.43732
281	99974.16204
282	99967.90987
283	99956.97105
284	99950.89178
285	99944.7604
286	99942.50223
287	99936.01652
288	99927.63735
289	99921.94083
290	99915.30592
291	99910.39453
292	99904.07984
293	99899.96403
294	99889.13937
295	99880.41142
296	99871.57315
297	99861.91048
298	99851.00463
299	99845.48292
