iter	Passed	Remaining
0	6	1800
1	10	1542
2	12	1220
3	16	1253
4	19	1177
5	22	1099
6	25	1078
7	30	1108
8	33	1075
9	35	1028
10	38	1022
11	41	996
12	44	984
13	47	974
14	51	985
15	54	959
16	56	934
17	58	920
18	61	909
19	65	910
20	67	894
21	71	899
22	73	889
23	77	889
24	79	872
25	84	885
26	85	869
27	87	853
28	89	839
29	93	841
30	96	839
31	98	826
32	100	814
33	103	810
34	105	800
35	107	789
36	109	778
37	111	767
38	113	760
39	116	756
40	118	747
41	120	739
42	122	730
43	124	722
44	127	723
45	130	718
46	132	710
47	133	703
48	136	697
49	139	697
50	141	691
51	143	684
52	145	678
53	147	673
54	150	669
55	153	669
56	155	662
57	157	656
58	159	653
59	162	649
60	165	648
61	167	643
62	170	640
63	173	639
64	175	634
65	177	628
66	179	622
67	181	620
68	186	623
69	188	619
70	191	617
71	195	619
72	198	618
73	202	618
74	204	613
75	206	608
76	208	604
77	212	605
78	216	606
79	218	601
80	220	596
81	222	591
82	225	589
83	227	584
84	229	579
85	231	574
86	233	570
87	235	567
88	238	565
89	240	561
90	242	557
91	244	553
92	248	552
93	250	547
94	251	543
95	253	539
96	257	537
97	259	535
98	262	532
99	265	530
100	267	527
101	270	524
102	273	522
103	275	518
104	277	514
105	279	511
106	283	511
107	285	507
108	287	503
109	289	499
110	291	497
111	294	494
112	296	490
113	298	486
114	300	483
115	303	481
116	305	477
117	307	474
118	309	470
119	311	466
120	313	463
121	317	463
122	321	462
123	323	459
124	327	458
125	329	455
126	334	456
127	339	455
128	341	453
129	343	449
130	345	445
131	348	443
132	352	442
133	354	439
134	356	436
135	360	435
136	363	432
137	366	430
138	369	427
139	372	425
140	375	423
141	378	420
142	380	417
143	384	416
144	387	413
145	389	410
146	391	407
147	396	407
148	399	405
149	402	402
150	407	401
151	410	399
152	412	396
153	415	393
154	418	391
155	420	388
156	422	384
157	424	381
158	427	378
159	430	376
160	432	373
161	434	370
162	437	367
163	439	364
164	441	361
165	444	358
166	446	355
167	449	352
168	452	350
169	456	349
170	458	345
171	463	345
172	466	342
173	468	339
174	471	336
175	474	333
176	476	330
177	478	327
178	480	324
179	483	322
180	485	319
181	487	316
182	489	312
183	491	309
184	496	308
185	498	305
186	500	302
187	501	299
188	504	296
189	508	294
190	510	291
191	512	288
192	515	285
193	519	284
194	522	281
195	524	278
196	529	276
197	531	273
198	533	270
199	535	267
200	539	265
201	541	262
202	544	259
203	546	256
204	549	254
205	552	252
206	555	249
207	557	246
208	559	243
209	562	240
210	565	238
211	567	235
212	569	232
213	573	230
214	576	227
215	579	225
216	587	224
217	590	222
218	594	219
219	600	218
220	604	216
221	608	213
222	610	210
223	613	207
224	618	206
225	621	203
226	624	200
227	628	198
228	632	195
229	634	193
230	638	190
231	641	187
232	644	185
233	646	182
234	651	180
235	653	177
236	657	174
237	661	172
238	665	169
239	668	167
240	671	164
241	674	161
242	677	158
243	679	156
244	685	153
245	688	151
246	691	148
247	695	145
248	698	142
249	700	140
250	702	137
251	705	134
252	710	132
253	713	129
254	718	126
255	722	124
256	724	121
257	728	118
258	731	115
259	734	112
260	736	110
261	740	107
262	744	104
263	746	101
264	749	98
265	751	96
266	754	93
267	758	90
268	763	87
269	766	85
270	769	82
271	774	79
272	778	77
273	781	74
274	787	71
275	791	68
276	795	66
277	801	63
278	804	60
279	809	57
280	813	55
281	817	52
282	820	49
283	823	46
284	826	43
285	830	40
286	833	37
287	836	34
288	842	32
289	845	29
290	850	26
291	853	23
292	856	20
293	859	17
294	864	14
295	866	11
296	870	8
297	875	5
298	877	2
299	882	0
